שם מקורי,שם חדש,סטטוס,הערה
2022-04-01_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-02_געתון_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-03_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-06_תל אביב-יפו_בני ברק.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-07_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-12_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-13_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-14_שלומי_חניתה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-15_שלומי_חניתה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-19_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-21_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-22_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-04-24_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-04_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-06_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-11_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-12_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
